sample_id,ipq,brand_enc,price
33127,0,0,4.890000000000001
198967,0,0,13.12
261251,4,0,1.97
55858,25,0,30.34
292686,0,0,66.49
9259,25,0,18.5
191846,0,0,5.99
222007,8,0,94.0
37614,0,0,35.74
238044,0,0,31.8
254947,0,0,15.99
283223,0,0,33.5
21740,4,0,6.98
170292,0,0,4.255
71500,0,0,1.67
266475,0,0,81.44
88520,0,0,56.72
125583,0,0,5.47
271423,5,0,109.97
260842,90,0,50.99
267410,0,0,98.99
201749,0,0,32.09
194856,0,0,12.32
81813,7,0,4.12
234305,12,0,16.395
154376,0,0,17.095
202016,5,0,15.5
116291,2,0,20.61
234372,75,0,1.58
116974,38,0,19.845
178219,64,0,13.49
248217,0,0,12.78
22148,0,0,64.99
7575,0,0,30.78
100323,0,0,23.99
109029,0,0,12.85
38571,0,0,9.27
56340,8,0,29.96
196576,3,0,124.52
274881,0,0,16.99
166681,0,0,5.49
95469,0,0,12.23
255445,0,0,6.99
259866,0,0,58.13
59900,0,0,11.98
61692,0,0,29.94
56211,0,0,7.56
140715,5,0,34.57
186165,1,0,2.54
272258,0,0,4.42
191961,5,0,0.94
245797,5,0,6.69
278964,0,0,30.475
133751,0,0,34.925
188740,500,0,2.99
216435,240,0,20.79
147811,3,0,57.7
48188,3,0,24.99
260170,0,0,17.634999999999998
24701,0,0,10.49
65474,0,0,63.99
151954,82,0,11.46
25549,0,0,12.795000000000002
210101,92,0,29.99
22348,0,0,17.49
69365,12,0,79.99
43008,0,0,11.1
182264,9,0,7.99
117130,53,0,26.13
236193,0,0,42.495
202733,0,0,29.99
35395,0,0,1.755
66928,0,0,24.01
201717,49,0,19.725
239169,0,0,15.74
191671,375,0,16.99
240701,2,0,33.56
172422,0,0,16.99
166878,76,0,4.99
31920,0,0,14.61
247546,0,0,17.99
7411,0,0,2.6
218503,1,0,7.465
86106,100,0,32.49
115306,6,0,14.99
182492,0,0,4.890000000000001
202254,0,0,298.0
164888,0,0,7.99
